  0.23945673E+00 -0.69891500E+01
  0.24455156E+00 -0.69853655E+01
  0.24964638E+00 -0.69815749E+01
  0.25474120E+00 -0.69777818E+01
  0.25983603E+00 -0.69739896E+01
  0.26493085E+00 -0.69702019E+01
  0.27002568E+00 -0.69664222E+01
  0.27512050E+00 -0.69626538E+01
  0.28021532E+00 -0.69589004E+01
  0.28531015E+00 -0.69551653E+01
  0.29040497E+00 -0.69514520E+01
  0.29549980E+00 -0.69477639E+01
  0.30059462E+00 -0.69441043E+01
  0.30568944E+00 -0.69404768E+01
  0.31078427E+00 -0.69368846E+01
  0.31587909E+00 -0.69333310E+01
  0.32097392E+00 -0.69298194E+01
  0.32606874E+00 -0.69263531E+01
  0.33116356E+00 -0.69229352E+01
  0.33625839E+00 -0.69195692E+01
  0.34135321E+00 -0.69162581E+01
  0.34644804E+00 -0.69130051E+01
  0.35154286E+00 -0.69098134E+01
  0.35663768E+00 -0.69066861E+01
  0.36173251E+00 -0.69036262E+01
  0.36682733E+00 -0.69006368E+01
  0.37192216E+00 -0.68977209E+01
  0.37701698E+00 -0.68948813E+01
  0.38211180E+00 -0.68921211E+01
  0.38720663E+00 -0.68894430E+01
  0.39230145E+00 -0.68868498E+01
  0.39739628E+00 -0.68843444E+01
  0.40249110E+00 -0.68819292E+01
  0.40758593E+00 -0.68796070E+01
  0.41268075E+00 -0.68773803E+01
  0.41777557E+00 -0.68752516E+01
  0.42287040E+00 -0.68732232E+01
  0.42796522E+00 -0.68712974E+01
  0.43306005E+00 -0.68694764E+01
  0.43815487E+00 -0.68677624E+01
  0.44324969E+00 -0.68661573E+01
  0.44834452E+00 -0.68646631E+01
  0.45343934E+00 -0.68632816E+01
  0.45853417E+00 -0.68620144E+01
  0.46362899E+00 -0.68608630E+01
  0.46872381E+00 -0.68598289E+01
  0.47381864E+00 -0.68589134E+01
  0.47891346E+00 -0.68581176E+01
  0.48400829E+00 -0.68574425E+01
  0.48910311E+00 -0.68568889E+01
  0.49419793E+00 -0.68564577E+01
  0.49929276E+00 -0.68561492E+01
  0.50438758E+00 -0.68559640E+01
  0.50948241E+00 -0.68559022E+01
  0.51455345E+00 -0.68558986E+01
  0.51962449E+00 -0.68558874E+01
  0.52469553E+00 -0.68558681E+01
  0.52976657E+00 -0.68558395E+01
  0.53483761E+00 -0.68558003E+01
  0.53990865E+00 -0.68557484E+01
  0.54497970E+00 -0.68556816E+01
  0.55005074E+00 -0.68555972E+01
  0.55512178E+00 -0.68554920E+01
  0.56019282E+00 -0.68553625E+01
